t_index	term	df
1026	associ	117
1027	associateturnedinform	3
1028	assort	1
1029	assum	38
1030	assumpt	7
1031	assur	35
1032	assuredli	2
1033	astakhov	12
1034	asterisk	2
1035	astonish	7
1036	astound	2
1037	astronom	1
1038	astut	1
1039	asylum	29
1040	asymmetr	2
1041	atal	13
1042	atck	2
1043	ate	4
1044	atf	2
1045	atfein	1
1046	ath	1
1047	athal	1
1048	athlet	3
1049	atlant	15
1050	atlanta	6
1051	atmat	1
1052	atmospher	10
1053	atom	4
1054	atop	13
1055	atp	3
1056	atroc	10
1057	atrophi	1
1058	atsea	3
1059	attach	15
1060	attack	306
1061	attain	1
1062	attempt	112
1063	attend	68
1064	attent	64
1065	attest	2
1066	attitud	10
1067	attorney	58
1068	attract	15
1069	attribut	12
1070	attrit	1
1071	atwan	1
1072	aubrey	19
1073	aubri	5
1074	audienc	16
1075	audio	4
1076	audiotap	1
1077	auditor	5
1078	auditorium	1
1079	aug	33
1080	augment	1
1081	august	32
1082	aunt	2
1083	aur	5
1084	aura	1
1085	aurora	4
1086	ausi	1
1087	aussi	9
1088	auster	2
1089	austin	18
1090	australia	23
1091	australian	72
1092	austria	3
1093	austrian	1
1094	austrohungarian	1
1095	authent	2
1096	author	255
1097	authoritarian	27
1098	auto	1
1099	autocrat	27
1100	autograph	1
1101	autom	1
1102	automat	18
1103	automobil	4
1104	autonom	1
1105	autonomi	3
1106	autopilot	1
1107	autopsi	1
1108	autumn	2
1109	avail	44
1110	avala	1
1111	avalanch	1
1112	ave	1
1113	aveng	7
1114	avent	1
1115	avenu	4
1116	averag	14
1117	avert	6
1118	aviat	3
1119	aviv	4
1120	avner	2
1121	avoid	59
1122	avow	1
1123	aw	10
1124	awad	2
1125	await	26
1126	awaken	2
1127	awar	18
1128	award	9
1129	away	166
1130	awe	3
1131	aweigh	1
1132	awestruck	1
1133	awkward	4
1134	awn	4
1135	awok	1
1136	axam	1
1137	axe	1
1138	ay	2
1139	ayatollah	1
1140	aykroyd	1
1141	ayman	5
1142	aynaoui	1
1143	ayr	1
1144	ayyam	1
1145	az	1
1146	aziz	1
1147	azul	1
1148	azulay	2
1149	b	11
1150	b292	2
1151	b52	1
1152	b92	2
1153	ba	2
1154	babenko	2
1155	babi	14
1156	babkin	6
1157	baboa	1
1158	back	358
1159	backa	1
1160	backandforth	1
1161	backbo	1
1162	backcourt	1
1163	backdrop	4
1164	backer	14
1165	backfir	5
1166	background	4
1167	backhand	14
1168	backho	1
1169	backlash	3
